hp_id,symbol,security_id,fill_date,fill_close,prev_date,prev_close,prev_source,next_date,next_close,next_source,vs_ref_pct,neighbors_consistent,ca_adj_confirmed,ca_note,post_fill_cas
462236,LUPIN,1107,2016-11-18,1417.75,,,,2025-10-28,1932.2,cron,-26.63,True,True,LIKELY adjusted (implied factor≈1.36) but no matching SPLIT/BONUS in corporate_actions,
462238,LUPIN,1107,2017-03-10,1447.1,,,,2025-10-28,1932.2,cron,-25.11,True,True,LIKELY adjusted (implied factor≈1.34) but no matching SPLIT/BONUS in corporate_actions,
462239,LUPIN,1107,2017-08-16,961.0,,,,2025-10-28,1932.2,cron,-50.26,True,True,LIKELY adjusted (implied factor≈2.01) but no matching SPLIT/BONUS in corporate_actions,
462240,LUPIN,1107,2017-08-28,991.2,,,,2025-10-28,1932.2,cron,-48.7,True,True,LIKELY adjusted (implied factor≈1.95) but no matching SPLIT/BONUS in corporate_actions,
462241,LUPIN,1107,2017-11-07,860.1,,,,2025-10-28,1932.2,cron,-55.49,True,True,LIKELY adjusted (implied factor≈2.25) but no matching SPLIT/BONUS in corporate_actions,
462242,LUPIN,1107,2017-11-09,830.45,,,,2025-10-28,1932.2,cron,-57.02,True,True,LIKELY adjusted (implied factor≈2.33) but no matching SPLIT/BONUS in corporate_actions,
462243,LUPIN,1107,2017-11-14,835.0,,,,2025-10-28,1932.2,cron,-56.79,True,True,LIKELY adjusted (implied factor≈2.31) but no matching SPLIT/BONUS in corporate_actions,
462244,LUPIN,1107,2021-01-13,1067.4,,,,2025-10-28,1932.2,cron,-44.76,True,True,LIKELY adjusted (implied factor≈1.81) but no matching SPLIT/BONUS in corporate_actions,
462247,MANAPPURAM,1140,2023-01-05,120.95,,,,2025-10-28,277.65,cron,-56.44,True,True,LIKELY adjusted (implied factor≈2.3) but no matching SPLIT/BONUS in corporate_actions,
462248,MANAPPURAM,1140,2024-03-06,173.9,,,,2025-10-28,277.65,cron,-37.37,True,True,LIKELY adjusted (implied factor≈1.6) but no matching SPLIT/BONUS in corporate_actions,
462249,MANORAMA,1150,2023-01-05,212.89,,,,2025-10-28,1390.0,cron,-84.68,True,False,no post-fill dilutive CA on file,
462250,MANORAMA,1150,2024-03-06,415.24,,,,2025-10-28,1390.0,cron,-70.13,True,False,no post-fill dilutive CA on file,
462258,MASFIN,1162,2018-09-17,188.45,,,,2024-01-01,870.95,upload,-78.36,True,True,LIKELY adjusted (ratio≈4.62); post-fill CA factor=0.3333 expected≈290.32; fill=188.45; implied_ref/fill=4.62; CAs: BONUS 2@2024-02-22,BONUS 2@2024-02-22
462259,MASFIN,1162,2018-11-29,173.18,,,,2024-01-01,870.95,upload,-80.12,True,True,LIKELY adjusted (ratio≈5.03); post-fill CA factor=0.3333 expected≈290.32; fill=173.18; implied_ref/fill=5.03; CAs: BONUS 2@2024-02-22,BONUS 2@2024-02-22
462260,MASFIN,1162,2020-01-01,288.27,,,,2024-01-01,870.95,upload,-66.9,True,True,CONFIRMED adjusted: fill≈ref×0.3333 from BONUS 2@2024-02-22,BONUS 2@2024-02-22
462261,MASFIN,1162,2020-02-24,374.13,,,,2024-01-01,870.95,upload,-57.04,True,True,LIKELY adjusted (ratio≈2.33); post-fill CA factor=0.3333 expected≈290.32; fill=374.13; implied_ref/fill=2.33; CAs: BONUS 2@2024-02-22,BONUS 2@2024-02-22
462262,MASFIN,1162,2020-02-25,357.85,,,,2024-01-01,870.95,upload,-58.91,True,True,LIKELY adjusted (ratio≈2.43); post-fill CA factor=0.3333 expected≈290.32; fill=357.85; implied_ref/fill=2.43; CAs: BONUS 2@2024-02-22,BONUS 2@2024-02-22
462263,MASFIN,1162,2020-02-26,369.6,,,,2024-01-01,870.95,upload,-57.56,True,True,LIKELY adjusted (ratio≈2.36); post-fill CA factor=0.3333 expected≈290.32; fill=369.60; implied_ref/fill=2.36; CAs: BONUS 2@2024-02-22,BONUS 2@2024-02-22
462264,MASFIN,1162,2020-02-27,365.2,,,,2024-01-01,870.95,upload,-58.07,True,True,LIKELY adjusted (ratio≈2.38); post-fill CA factor=0.3333 expected≈290.32; fill=365.20; implied_ref/fill=2.38; CAs: BONUS 2@2024-02-22,BONUS 2@2024-02-22
462265,MASFIN,1162,2020-02-28,346.58,,,,2024-01-01,870.95,upload,-60.21,True,True,LIKELY adjusted (ratio≈2.51); post-fill CA factor=0.3333 expected≈290.32; fill=346.58; implied_ref/fill=2.51; CAs: BONUS 2@2024-02-22,BONUS 2@2024-02-22
462266,MASFIN,1162,2020-03-03,355.47,,,,2024-01-01,870.95,upload,-59.19,True,True,LIKELY adjusted (ratio≈2.45); post-fill CA factor=0.3333 expected≈290.32; fill=355.47; implied_ref/fill=2.45; CAs: BONUS 2@2024-02-22,BONUS 2@2024-02-22
462267,MASFIN,1162,2020-03-16,338.05,,,,2024-01-01,870.95,upload,-61.19,True,True,LIKELY adjusted (ratio≈2.58); post-fill CA factor=0.3333 expected≈290.32; fill=338.05; implied_ref/fill=2.58; CAs: BONUS 2@2024-02-22,BONUS 2@2024-02-22
462268,MASFIN,1162,2020-04-27,191.82,,,,2024-01-01,870.95,upload,-77.98,True,True,LIKELY adjusted (ratio≈4.54); post-fill CA factor=0.3333 expected≈290.32; fill=191.82; implied_ref/fill=4.54; CAs: BONUS 2@2024-02-22,BONUS 2@2024-02-22
